# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
1000 34.24 -0.00 0.08 -3.76+0.22j
2000 -252.30 -0.01 0.05 -32.41+0.15j
3000 -436.35 -0.01 0.04 -50.82-0.28j
4000 -599.67 -0.01 0.03 -67.15+0.31j
100000 72.60 0.01 0.02 0.08+0.31j
101000 4.49 0.01 0.02 -6.73-0.31j
102000 -69.69 0.01 0.02 -14.15-0.31j
103000 -147.62 0.01 0.02 -21.95+0.31j
104000 -225.54 0.01 0.02 -29.74+0.31j
105000 -300.94 0.01 0.02 -37.28+0.31j
106000 -387.59 0.01 0.02 -45.94+0.31j
107000 -468.90 0.01 0.02 -54.07+0.30j
108000 -543.80 0.01 0.02 -61.56+0.31j
