# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
1000 -6.19 0.00 0.02 -69.07-0.02j
2000 -7.61 0.00 0.02 -83.30+0.08j
3000 -5.04 0.00 0.02 -57.57+0.02j
4000 -7.01 0.00 0.02 -77.33+0.02j
5000 -13.99 0.00 0.02 -147.05-0.00j
6000 -11.30 0.00 0.02 -120.15+0.00j
7000 -3.19 0.00 0.02 -39.10-0.00j
8000 -6.91 0.00 0.02 -76.31-0.00j
9000 -4.75 0.00 0.02 -54.66-0.00j
10000 -8.03 0.00 0.02 -87.45+0.00j
11000 -4.27 0.00 0.02 -49.86+0.00j
12000 -9.46 0.00 0.02 -101.80-0.00j
13000 -10.63 0.00 0.02 -113.48+0.00j
14000 -5.03 0.00 0.02 -57.53-0.00j
15000 -5.00 0.00 0.02 -57.23+0.00j
16000 -11.18 0.00 0.02 -119.02+0.00j
17000 -9.86 0.00 0.02 -105.81-0.00j
18000 -10.29 0.00 0.02 -110.04+0.00j
19000 -6.24 0.00 0.02 -69.57-0.00j
20000 -9.68 0.00 0.02 -104.00-0.00j
21000 -7.71 0.00 0.02 -84.28+0.00j
22000 -13.06 0.00 0.02 -137.83+0.00j
23000 -6.40 0.00 0.02 -71.17-0.00j
24000 -10.54 0.00 0.02 -112.63+0.00j
25000 -13.66 0.00 0.02 -143.82+0.00j
26000 -10.84 0.00 0.02 -115.54+0.00j
27000 -9.41 0.00 0.02 -101.26+0.00j
28000 -12.39 0.00 0.02 -131.08-0.00j
29000 -11.27 0.00 0.02 -119.86-0.00j
30000 -5.62 0.00 0.02 -63.35-0.00j
31000 -7.97 0.00 0.02 -86.87-0.00j
32000 -7.06 0.00 0.02 -77.74-0.00j
33000 -10.17 0.00 0.02 -108.84-0.00j
34000 -18.30 -0.00 0.02 -190.17+0.00j
35000 -12.15 0.00 0.02 -128.66+0.00j
36000 -8.28 0.00 0.02 -89.97+0.00j
37000 -6.64 0.00 0.02 -73.62+0.00j
38000 -4.24 0.00 0.02 -49.62+0.00j
39000 -7.84 0.00 0.02 -85.55+0.00j
40000 -11.72 0.00 0.02 -124.39+0.00j
41000 -16.56 0.00 0.02 -172.78+0.00j
42000 -5.34 0.00 0.02 -60.62-0.00j
43000 -7.01 0.00 0.02 -77.28-0.00j
44000 -7.70 0.00 0.02 -84.16-0.00j
45000 -3.77 0.00 0.02 -44.92+0.00j
46000 -12.15 0.00 0.02 -128.69+0.00j
