# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
1000 -139.67 0.00 0.01 0.20-0.04j
2000 -138.12 0.00 0.01 0.28-0.03j
3000 -136.99 0.00 0.01 0.33-0.02j
4000 -136.70 0.00 0.01 0.35+0.08j
5000 -135.05 0.00 0.01 0.43+0.15j
6000 -137.20 0.01 -0.01 0.32+0.10j
7000 -132.98 0.00 0.02 0.53-0.07j
8000 -133.07 0.00 0.01 0.53-0.15j
9000 -133.85 -0.00 0.03 0.49+0.01j
10000 -135.22 0.01 -0.01 0.42-0.03j
11000 -160.40 -0.03 0.05 -0.84-0.04j
12000 -145.89 0.03 -0.06 -0.11+0.15j
13000 -153.78 -0.02 -0.02 -0.51-0.12j
14000 -152.80 -0.01 0.01 -0.46+0.08j
15000 -148.99 0.03 -0.01 -0.27-0.06j
16000 -138.00 0.02 -0.03 0.28+0.12j
17000 -141.51 -0.06 0.04 0.11+0.10j
18000 -136.99 -0.00 0.06 0.33-0.02j
19000 -132.89 0.00 0.01 0.54+0.02j
20000 -135.14 0.00 0.02 0.43-0.09j
21000 -138.54 0.00 -0.06 0.26-0.02j
22000 -153.29 0.01 -0.02 -0.48-0.13j
23000 -163.62 -0.00 0.00 -1.00-0.05j
24000 -162.14 0.01 0.03 -0.92+0.09j
25000 -166.94 0.00 -0.02 -1.16-0.13j
26000 -162.69 0.00 0.00 -0.95-0.08j
27000 -159.62 -0.01 0.01 -0.80-0.03j
28000 -148.86 0.02 0.03 -0.26-0.10j
29000 -142.65 0.00 -0.01 0.05-0.07j
30000 -141.33 -0.01 -0.01 0.12+0.01j
31000 -131.05 -0.02 0.01 0.63-0.11j
32000 -130.36 0.03 0.02 0.67-0.04j
33000 -147.73 -0.02 -0.08 -0.20+0.01j
34000 -143.20 -0.00 0.00 0.02-0.07j
35000 -136.80 -0.02 -0.02 0.34+0.00j
36000 -128.68 0.00 0.01 0.75+0.02j
37000 -130.52 0.00 -0.01 0.66+0.01j
38000 -126.08 0.00 0.01 0.88-0.09j
39000 -129.95 -0.00 -0.03 0.69+0.06j
40000 -160.25 -0.01 -0.02 -0.83+0.10j
41000 -162.68 0.02 0.02 -0.95+0.10j
42000 -198.69 0.02 0.01 -2.75+0.12j
43000 -139.49 0.01 0.01 0.21+0.14j
44000 -125.20 -0.00 0.01 0.92-0.12j
