# step beta_mu_ex.real beta_P.real rho.real -kTlog(Q)
1000 9.36 -0.00 0.02 53.97+13.92j
2000 16.41 -0.00 0.01 89.24+5.40j
3000 14.45 -0.00 0.02 79.42+4.44j
4000 15.21 -0.00 0.02 83.25+12.08j
5000 14.46 -0.00 0.02 79.50+1.85j
6000 20.08 -0.00 0.01 107.58-7.71j
7000 16.96 -0.00 0.02 91.98+10.80j
8000 19.05 0.00 0.02 102.44-3.89j
9000 17.87 -0.00 0.02 96.53-3.30j
10000 14.77 -0.00 0.02 81.04-9.63j
11000 15.36 -0.00 0.02 84.00-10.90j
12000 17.83 -0.00 0.02 96.33+11.80j
13000 16.41 -0.00 0.02 89.21+8.76j
14000 14.78 -0.00 0.02 81.09+15.04j
15000 16.72 -0.00 0.02 90.77-11.35j
16000 15.02 -0.00 0.02 82.28+14.41j
17000 14.83 -0.00 0.02 81.32-13.25j
18000 19.36 0.00 0.02 103.97-6.04j
19000 17.78 -0.00 0.02 96.10-1.75j
20000 14.50 -0.00 0.02 79.70+10.04j
21000 16.31 -0.00 0.02 88.73-13.92j
22000 18.30 0.00 0.02 98.70-14.75j
23000 16.08 -0.00 0.02 87.59+11.81j
24000 18.54 -0.00 0.02 99.89+5.46j
25000 15.37 -0.00 0.02 84.01-3.46j
26000 18.25 -0.00 0.02 98.43+8.63j
27000 13.70 -0.00 0.02 75.68-14.03j
28000 14.48 -0.00 0.02 79.59-0.85j
29000 16.47 -0.00 0.02 89.55-7.08j
30000 19.12 -0.00 0.02 102.79+6.56j
31000 18.11 0.00 0.01 97.75+7.02j
32000 15.36 -0.00 0.02 83.98+10.07j
33000 16.50 -0.00 0.02 89.70+13.65j
34000 16.91 -0.00 0.02 91.75-13.41j
35000 17.20 -0.00 0.02 93.18-5.00j
36000 14.96 -0.00 0.02 81.96-9.75j
37000 15.92 -0.00 0.02 86.77+3.11j
38000 12.39 -0.00 0.02 69.15+11.03j
39000 19.15 -0.00 0.02 102.96-13.23j
40000 17.41 -0.00 0.02 94.23-2.45j
41000 15.04 -0.00 0.02 82.38+0.93j
42000 17.22 -0.00 0.01 93.27+1.61j
43000 16.66 -0.00 0.02 90.48+15.40j
44000 17.76 -0.00 0.02 95.99-7.95j
45000 14.03 -0.00 0.02 77.33-15.63j
46000 12.95 -0.00 0.02 71.93+2.64j
