# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
1000 -143.66 0.01 0.00 -0.00 0.00 0.00+0.00j
2000 -143.66 0.00 0.00 -0.00 0.00 0.00+0.00j
3000 -143.65 -0.00 0.00 -0.00 0.00 0.00-0.00j
4000 -143.65 0.00 0.00 -0.00 0.00 0.00+0.00j
5000 -143.65 0.00 0.00 -0.00 0.00 0.00+0.00j
6000 -143.65 0.01 0.00 -0.00 0.00 0.00+0.00j
7000 -143.65 -0.00 0.00 -0.00 0.00 0.00-0.00j
8000 -143.65 0.00 0.00 -0.00 -0.00 0.00+0.00j
9000 -143.65 0.01 0.00 0.00 -0.00 0.00+0.00j
10000 -143.64 0.01 0.00 0.00 -0.00 0.00+0.00j
11000 -143.64 0.00 0.00 0.00 0.00 0.00+0.00j
12000 -143.64 0.02 0.00 0.00 -0.00 0.00+0.00j
13000 -143.64 0.01 0.00 0.00 -0.00 0.00+0.00j
14000 -143.64 0.01 0.00 0.00 -0.00 0.00+0.00j
15000 -143.64 0.01 0.00 0.00 -0.00 0.00+0.00j
16000 -143.64 0.01 0.00 0.00 0.00 0.00+0.00j
17000 -143.64 0.01 0.00 0.00 0.00 0.00+0.00j
18000 -143.64 0.02 0.00 -0.00 0.00 0.00+0.00j
19000 -143.64 0.02 0.00 -0.00 -0.00 0.00+0.00j
20000 -143.63 0.01 0.00 -0.00 -0.00 0.00+0.00j
21000 -143.63 0.02 0.00 0.00 -0.00 0.00+0.00j
22000 -143.63 0.02 0.00 0.00 -0.00 0.00+0.00j
23000 -143.63 0.02 0.00 0.00 0.00 0.00+0.00j
24000 -143.63 0.02 0.00 0.00 -0.00 0.00+0.00j
25000 -143.63 0.03 0.00 0.00 -0.00 0.00+0.00j
26000 -143.63 0.02 0.00 -0.00 0.00 0.00+0.00j
27000 -143.63 0.02 0.00 -0.00 0.00 0.00+0.00j
28000 -143.63 0.02 0.00 -0.00 -0.00 0.00+0.00j
29000 -143.63 0.02 0.00 -0.00 -0.00 0.00+0.00j
30000 -143.63 0.02 0.00 0.00 -0.00 0.00+0.00j
31000 -143.63 0.02 0.00 -0.00 -0.00 0.00+0.00j
32000 -143.63 0.02 0.00 -0.00 0.00 0.00+0.00j
33000 -143.63 0.02 0.00 -0.00 0.00 0.00+0.00j
34000 -143.63 0.02 0.00 0.00 -0.00 0.00+0.00j
35000 -143.63 0.02 0.00 -0.00 -0.00 0.00+0.00j
36000 -143.62 0.02 0.00 -0.00 0.00 0.00+0.00j
37000 -143.62 0.02 0.00 -0.00 0.00 0.00+0.00j
38000 -143.62 0.02 0.00 0.00 -0.00 0.00+0.00j
39000 -143.62 0.01 0.00 0.00 -0.00 0.00+0.00j
40000 -143.62 0.01 0.00 0.00 -0.00 0.00+0.00j
41000 -143.61 0.01 0.00 0.00 -0.00 0.00+0.00j
42000 -143.61 0.01 0.00 -0.00 -0.00 0.00+0.00j
43000 -143.61 0.02 0.00 0.00 -0.00 0.00+0.00j
44000 -143.61 0.02 0.00 -0.00 -0.00 0.00+0.00j
45000 -143.61 0.03 0.00 0.00 -0.00 0.00+0.00j
46000 -143.61 0.03 0.00 0.00 -0.00 0.00+0.00j
47000 -143.61 0.03 0.00 -0.00 -0.00 0.00+0.00j
48000 -143.61 0.04 0.00 -0.00 -0.00 0.00+0.00j
49000 -143.61 0.04 0.00 0.00 0.00 0.00+0.00j
50000 -143.61 0.05 0.00 0.00 -0.00 0.00+0.00j
51000 -143.61 0.04 0.00 0.00 -0.00 0.00+0.00j
52000 -143.61 0.03 0.00 -0.00 -0.00 0.00+0.00j
53000 -143.61 0.04 0.00 -0.00 0.00 0.00+0.00j
54000 -143.61 0.03 0.00 0.00 0.00 0.00+0.00j
55000 -143.61 0.03 0.00 -0.00 0.00 0.00+0.00j
56000 -143.61 0.03 0.00 0.00 -0.00 0.00+0.00j
57000 -143.61 0.03 0.00 -0.00 -0.00 0.00+0.00j
58000 -143.61 0.04 0.00 -0.00 0.00 0.00+0.00j
59000 -143.61 0.04 0.00 -0.00 -0.00 0.00+0.00j
60000 -143.60 0.04 0.00 -0.00 -0.00 0.00+0.00j
61000 -143.60 0.04 0.00 -0.00 -0.00 0.00+0.00j
62000 -143.61 0.05 0.00 -0.00 -0.00 0.00+0.00j
63000 -143.61 0.06 0.00 -0.00 -0.00 0.00+0.00j
64000 -143.61 0.06 0.00 -0.00 -0.00 0.00+0.00j
65000 -143.60 0.05 0.00 -0.00 -0.00 0.00+0.00j
66000 -143.60 0.05 0.00 -0.00 0.00 0.00+0.00j
67000 -143.60 0.05 0.00 0.00 0.00 0.00+0.00j
68000 -143.60 0.05 0.00 -0.00 -0.00 0.00+0.00j
69000 -143.60 0.04 0.00 -0.00 -0.00 0.00+0.00j
70000 -143.60 0.05 0.00 -0.00 0.00 0.00+0.00j
71000 -143.60 0.05 0.00 0.00 -0.00 0.00+0.00j
72000 -143.60 0.04 0.00 0.00 -0.00 0.00+0.00j
73000 -143.60 0.04 0.00 -0.00 0.00 0.00+0.00j
74000 -143.60 0.04 0.00 0.00 0.00 0.00+0.00j
75000 -143.60 0.04 0.00 0.00 0.00 0.00+0.00j
76000 -143.59 0.04 0.00 -0.00 -0.00 0.00+0.00j
77000 -143.59 0.04 0.00 -0.00 -0.00 0.00+0.00j
78000 -143.59 0.04 0.00 -0.00 -0.00 0.00+0.00j
79000 -143.59 0.05 0.00 0.00 0.00 0.00+0.00j
80000 -143.59 0.04 0.00 0.00 -0.00 0.00+0.00j
81000 -143.59 0.03 0.00 0.00 -0.00 0.00+0.00j
82000 -143.59 0.03 0.00 -0.00 -0.00 0.00+0.00j
83000 -143.59 0.03 0.00 0.00 0.00 0.00+0.00j
84000 -143.59 0.03 0.00 0.00 0.00 0.00+0.00j
85000 -143.59 0.03 0.00 0.00 0.00 0.00+0.00j
86000 -143.59 0.02 0.00 0.00 0.00 0.00+0.00j
87000 -143.59 0.02 0.00 0.00 0.00 0.00+0.00j
88000 -143.59 0.01 0.00 0.00 -0.00 0.00+0.00j
89000 -143.58 0.01 0.00 0.00 -0.00 0.00+0.00j
90000 -143.59 0.02 0.00 -0.00 -0.00 0.00+0.00j
91000 -143.58 0.02 0.00 -0.00 0.00 0.00+0.00j
92000 -143.58 0.02 0.00 -0.00 0.00 0.00+0.00j
93000 -143.58 0.02 0.00 -0.00 0.00 0.00+0.00j
94000 -143.58 0.02 0.00 0.00 0.00 0.00+0.00j
95000 -143.58 0.03 0.00 0.00 0.00 0.00+0.00j
96000 -143.58 0.04 0.00 0.00 0.00 0.00+0.00j
97000 -143.58 0.04 0.00 -0.00 -0.00 0.00+0.00j
98000 -143.58 0.05 0.00 0.00 0.00 0.00+0.00j
99000 -143.59 0.05 0.00 0.00 0.00 0.00+0.00j
