# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
1000 -1.36 -0.00 0.00 -0.00 -0.00 0.38-0.02j
2000 -1.34 0.00 0.00 0.00 -0.00 0.50+0.00j
3000 -1.32 -0.01 0.00 -0.00 -0.00 0.57-0.06j
4000 -1.33 0.04 0.00 0.00 0.00 0.56+0.19j
5000 -1.31 -0.01 0.00 0.00 0.00 0.61-0.06j
6000 -1.33 -0.04 0.00 0.00 0.00 0.54-0.22j
7000 -1.33 -0.04 0.00 0.00 -0.00 0.53-0.21j
8000 -1.30 0.00 0.00 -0.00 -0.00 0.69+0.02j
9000 -1.32 -0.04 0.00 -0.00 -0.00 0.60-0.18j
10000 -1.33 -0.01 0.00 0.00 0.00 0.54-0.03j
11000 -1.32 -0.07 0.00 0.00 0.00 0.56-0.34j
12000 -1.33 -0.06 0.00 0.00 0.00 0.51-0.31j
13000 -1.33 -0.02 0.00 -0.00 0.00 0.53-0.12j
14000 -1.33 -0.03 0.00 0.00 -0.00 0.52-0.14j
15000 -1.32 0.02 0.00 -0.00 0.00 0.60+0.10j
16000 -1.31 0.02 0.00 0.00 -0.00 0.64+0.12j
17000 -1.32 -0.01 0.00 -0.00 -0.00 0.59-0.07j
18000 -1.32 -0.00 0.00 -0.00 -0.00 0.60-0.00j
19000 -1.32 -0.01 0.00 -0.00 -0.00 0.57-0.04j
20000 -1.34 -0.02 0.00 -0.00 0.00 0.48-0.11j
21000 -1.32 -0.11 0.00 0.00 0.00 0.56-0.55j
22000 -1.33 -0.07 0.00 -0.00 0.00 0.52-0.33j
23000 -1.33 -0.04 0.00 -0.00 -0.00 0.53-0.18j
24000 -1.33 0.01 0.00 -0.00 0.00 0.54+0.04j
25000 -1.32 -0.01 0.00 0.00 0.00 0.56-0.04j
26000 -1.32 -0.01 0.00 -0.00 -0.00 0.57-0.04j
27000 -1.32 0.00 0.00 -0.00 0.00 0.56+0.01j
28000 -1.32 0.03 0.00 0.00 0.00 0.58+0.14j
29000 -1.33 0.02 0.00 -0.00 -0.00 0.52+0.10j
30000 -1.32 -0.03 0.00 0.00 0.00 0.57-0.14j
31000 -1.32 -0.05 0.00 -0.00 -0.00 0.56-0.24j
32000 -1.34 -0.07 0.00 0.00 -0.00 0.48-0.37j
33000 -1.34 -0.09 0.00 -0.00 0.00 0.46-0.46j
34000 -1.34 -0.06 0.00 -0.00 0.00 0.50-0.32j
35000 -1.34 -0.12 0.00 0.00 0.00 0.50-0.60j
36000 -1.32 -0.07 0.00 0.00 0.00 0.60-0.33j
37000 -1.33 -0.02 0.00 -0.00 0.00 0.55-0.11j
38000 -1.32 -0.04 0.00 -0.00 0.00 0.58-0.22j
39000 -1.33 -0.06 0.00 0.00 0.00 0.56-0.32j
40000 -1.33 -0.01 0.00 -0.00 -0.00 0.52-0.04j
41000 -1.32 -0.05 0.00 -0.00 -0.00 0.59-0.25j
42000 -1.34 0.01 0.00 -0.00 -0.00 0.49+0.04j
43000 -1.34 -0.03 0.00 0.00 0.00 0.49-0.13j
44000 -1.34 -0.03 0.00 -0.00 -0.00 0.50-0.16j
45000 -1.35 -0.08 0.00 0.00 0.00 0.44-0.42j
46000 -1.33 -0.02 0.00 -0.00 -0.00 0.52-0.12j
47000 -1.34 0.05 0.00 -0.00 0.00 0.50+0.24j
48000 -1.33 0.01 0.00 0.00 0.00 0.55+0.06j
49000 -1.34 -0.00 0.00 0.00 0.00 0.49-0.02j
50000 -1.33 0.03 0.00 0.00 0.00 0.52+0.17j
51000 -1.33 -0.03 0.00 -0.00 0.00 0.54-0.13j
52000 -1.34 -0.04 0.00 0.00 0.00 0.50-0.20j
53000 -1.32 0.01 0.00 0.00 -0.00 0.57+0.03j
54000 -1.33 -0.05 0.00 0.00 0.00 0.53-0.27j
55000 -1.33 -0.01 0.00 -0.00 0.00 0.52-0.06j
56000 -1.32 -0.06 0.00 -0.00 -0.00 0.59-0.29j
57000 -1.32 0.01 0.00 0.00 0.00 0.60+0.06j
58000 -1.31 0.07 0.00 0.00 -0.00 0.61+0.33j
59000 -1.31 -0.01 0.00 0.00 -0.00 0.61-0.03j
60000 -1.31 -0.03 0.00 -0.00 -0.00 0.63-0.16j
61000 -1.32 -0.05 0.00 -0.00 0.00 0.59-0.23j
62000 -1.31 0.04 0.00 -0.00 -0.00 0.63+0.22j
63000 -1.31 -0.01 0.00 0.00 0.00 0.66-0.06j
64000 -1.32 0.01 0.00 -0.00 0.00 0.58+0.04j
65000 -1.32 0.01 0.00 0.00 0.00 0.59+0.05j
66000 -1.32 0.05 0.00 0.00 0.00 0.60+0.27j
67000 -1.32 -0.02 0.00 0.00 -0.00 0.57-0.11j
68000 -1.32 -0.02 0.00 -0.00 -0.00 0.58-0.09j
69000 -1.33 -0.06 0.00 0.00 0.00 0.56-0.28j
70000 -1.33 -0.05 0.00 -0.00 -0.00 0.53-0.24j
71000 -1.32 -0.01 0.00 -0.00 -0.00 0.58-0.06j
72000 -1.32 -0.05 0.00 0.00 -0.00 0.56-0.27j
73000 -1.32 -0.09 0.00 0.00 -0.00 0.58-0.46j
74000 -1.33 -0.09 0.00 -0.00 -0.00 0.52-0.46j
75000 -1.34 -0.00 0.00 -0.00 -0.00 0.50-0.02j
76000 -1.32 0.02 0.00 0.00 0.00 0.56+0.09j
77000 -1.32 0.02 0.00 -0.00 -0.00 0.60+0.11j
78000 -1.32 0.03 0.00 0.00 0.00 0.59+0.15j
79000 -1.33 0.01 0.00 -0.00 0.00 0.53+0.03j
80000 -1.31 0.07 0.00 -0.00 0.00 0.63+0.34j
81000 -1.31 0.05 0.00 0.00 0.00 0.62+0.27j
82000 -1.32 0.11 0.00 -0.00 -0.00 0.59+0.53j
83000 -1.32 0.09 0.00 -0.00 0.00 0.60+0.45j
84000 -1.32 0.11 0.00 0.00 0.00 0.56+0.53j
85000 -1.33 0.07 0.00 0.00 0.00 0.52+0.34j
86000 -1.33 0.07 0.00 0.00 0.00 0.53+0.37j
87000 -1.32 0.03 0.00 -0.00 -0.00 0.59+0.13j
88000 -1.32 -0.05 0.00 -0.00 -0.00 0.56-0.25j
89000 -1.33 -0.04 0.00 -0.00 0.00 0.55-0.19j
90000 -1.33 -0.00 0.00 -0.00 -0.00 0.56-0.02j
91000 -1.32 -0.04 0.00 -0.00 0.00 0.56-0.22j
92000 -1.32 -0.00 0.00 -0.00 -0.00 0.58-0.01j
93000 -1.31 -0.01 0.00 0.00 0.00 0.61-0.04j
94000 -1.31 0.04 0.00 -0.00 0.00 0.63+0.22j
95000 -1.32 0.06 0.00 0.00 -0.00 0.58+0.28j
96000 -1.33 0.02 0.00 0.00 -0.00 0.53+0.11j
97000 -1.34 0.04 0.00 0.00 0.00 0.48+0.21j
98000 -1.34 -0.03 0.00 0.00 0.00 0.50-0.15j
99000 -1.32 0.00 0.00 0.00 0.00 0.58+0.02j
