# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
100 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
200 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
300 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
400 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
500 -0.03 -0.00 0.03 -0.01 1.02 0.01-0.00j
600 -0.03 0.00 0.03 -0.00 1.02 0.01+0.00j
700 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
800 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
900 -0.03 0.00 0.03 -0.00 1.08 0.01+0.00j
1000 -0.03 0.00 0.03 -0.00 1.03 0.01+0.00j
1100 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
1200 -0.03 0.00 0.03 -0.00 1.04 0.01+0.00j
1300 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
1400 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
1500 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
1600 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
1700 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
1800 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
1900 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
2000 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
2100 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
2200 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
2300 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
2400 -0.03 0.00 0.03 -0.01 1.07 0.01+0.00j
2500 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
2600 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
2700 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
2800 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
2900 -0.03 0.00 0.03 -0.00 1.04 0.01+0.00j
3000 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
3100 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
3200 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
3300 -0.03 -0.00 0.03 -0.01 1.07 0.01-0.00j
3400 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
3500 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
3600 -0.03 0.00 0.03 -0.00 1.04 0.01+0.00j
3700 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
3800 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
3900 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
4000 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
4100 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
4200 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
4300 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
4400 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
4500 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
4600 -0.03 0.00 0.03 -0.01 1.06 0.01+0.00j
4700 -0.03 -0.00 0.03 -0.01 1.07 0.01-0.00j
4800 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
4900 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
5000 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
5100 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
5200 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
5300 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
5400 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
5500 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
5600 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
5700 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
5800 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
5900 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
6000 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
6100 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
6200 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
6300 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
6400 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
6500 -0.03 -0.00 0.03 -0.00 1.07 0.01-0.00j
6600 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
6700 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
6800 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
6900 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
7000 -0.03 0.00 0.03 -0.00 1.01 0.01+0.00j
7100 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
7200 -0.03 -0.00 0.03 -0.01 1.01 0.01-0.00j
7300 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
7400 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
7500 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
7600 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
7700 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
7800 -0.03 -0.00 0.03 -0.00 1.06 0.01-0.00j
7900 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
8000 -0.03 0.00 0.03 -0.00 1.02 0.01+0.00j
8100 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
8200 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
8300 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
8400 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
8500 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
8600 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
8700 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
8800 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
8900 -0.03 0.00 0.03 -0.01 1.02 0.01+0.00j
9000 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
9100 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
9200 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
9300 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
9400 -0.03 0.00 0.03 -0.00 1.07 0.01+0.00j
9500 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
9600 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
9700 -0.03 0.00 0.03 -0.00 1.04 0.01+0.00j
9800 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
9900 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
10000 -0.03 0.00 0.03 -0.01 1.06 0.01+0.00j
10100 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
10200 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
10300 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
10400 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
10500 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
10600 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
10700 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
10800 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
10900 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
11000 -0.03 -0.00 0.03 -0.01 1.02 0.01-0.00j
11100 -0.03 0.00 0.03 -0.00 1.04 0.01+0.00j
11200 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
11300 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
11400 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
11500 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
11600 -0.03 0.00 0.03 -0.01 1.06 0.01+0.00j
11700 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
11800 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
11900 -0.03 0.00 0.03 -0.01 1.06 0.01+0.00j
12000 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
12100 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
12200 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
12300 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
12400 -0.03 0.00 0.03 -0.01 1.02 0.01+0.00j
12500 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
12600 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
12700 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
12800 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
12900 -0.03 0.00 0.03 -0.00 1.03 0.01+0.00j
13000 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
13100 -0.03 -0.00 0.03 -0.00 1.07 0.01-0.00j
13200 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
13300 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
13400 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
13500 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
13600 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
13700 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
13800 -0.03 0.00 0.03 -0.01 1.02 0.01+0.00j
13900 -0.03 0.00 0.03 -0.01 1.06 0.01+0.00j
14000 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
14100 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
14200 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
14300 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
14400 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
14500 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
14600 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
14700 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
14800 -0.03 -0.00 0.03 -0.01 1.07 0.01-0.00j
14900 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
15000 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
15100 -0.03 -0.00 0.03 -0.01 1.04 0.01-0.00j
15200 -0.03 -0.00 0.03 -0.01 1.07 0.01-0.00j
15300 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
15400 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
15500 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
15600 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
15700 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
15800 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
15900 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
16000 -0.03 0.00 0.03 -0.01 1.06 0.01+0.00j
16100 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
16200 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
16300 -0.03 0.00 0.03 -0.00 1.04 0.01+0.00j
16400 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
16500 -0.03 0.00 0.03 -0.01 1.03 0.01+0.00j
16600 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
16700 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
16800 -0.03 -0.00 0.03 -0.01 1.02 0.01-0.00j
16900 -0.03 -0.00 0.03 -0.01 1.03 0.01-0.00j
17000 -0.03 -0.00 0.03 -0.01 1.07 0.01-0.00j
17100 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
17200 -0.03 0.00 0.03 -0.00 1.05 0.01+0.00j
17300 -0.03 -0.00 0.03 -0.00 1.07 0.01-0.00j
17400 -0.03 -0.00 0.03 -0.01 1.05 0.01-0.00j
17500 -0.03 -0.00 0.03 -0.00 1.06 0.01-0.00j
17600 -0.03 -0.00 0.03 -0.01 1.07 0.01-0.00j
17700 -0.03 -0.00 0.03 -0.00 1.07 0.01-0.00j
17800 -0.03 0.00 0.03 -0.01 1.05 0.01+0.00j
17900 -0.03 -0.00 0.03 -0.01 1.06 0.01-0.00j
18000 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
18100 -0.03 0.00 0.03 -0.01 1.04 0.01+0.00j
18200 -0.03 0.00 0.03 -0.00 1.06 0.01+0.00j
18300 -0.03 -0.00 0.03 -0.00 1.06 0.01-0.00j
