# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_B.real | rho_P.real | -kTlog(Qs) | -kTlog(Qp)
1000 | -1533.5352 | -708.5953 | 3.0485 | 1.6680| 1.6680 | 1.5625 | 0.0014+0.0000j | 0.0975+0.0002j
2000 | -1533.2717 | -691.0778 | 3.4119 | 1.6680| 1.6680 | 1.5625 | 0.0040+0.0000j | 0.2727+0.0005j
3000 | -1533.0076 | -673.5831 | 3.7878 | 1.6680| 1.6680 | 1.5625 | 0.0067+0.0000j | 0.4477+0.0008j
4000 | -1532.7424 | -656.1319 | 4.1734 | 1.6680| 1.6680 | 1.5625 | 0.0093+0.0000j | 0.6222+0.0012j
5000 | -1532.4795 | -638.6864 | 4.5653 | 1.6680| 1.6680 | 1.5625 | 0.0119+0.0000j | 0.7966+0.0008j
6000 | -1532.2155 | -621.2530 | 4.9653 | 1.6680| 1.6680 | 1.5625 | 0.0146+0.0000j | 0.9710+0.0007j
7000 | -1531.9530 | -603.9285 | 5.3694 | 1.6680| 1.6680 | 1.5625 | 0.0172+0.0000j | 1.1442+0.0002j
8000 | -1531.6897 | -586.5817 | 5.7801 | 1.6680| 1.6680 | 1.5625 | 0.0198+0.0000j | 1.3177+0.0007j
9000 | -1531.4295 | -569.3945 | 6.1910 | 1.6680| 1.6680 | 1.5625 | 0.0224+0.0000j | 1.4895+0.0010j
10000 | -1531.1709 | -552.3302 | 6.6050 | 1.6680| 1.6680 | 1.5625 | 0.0250+0.0000j | 1.6602+0.0017j
11000 | -1530.9138 | -535.4305 | 7.0208 | 1.6680| 1.6680 | 1.5625 | 0.0276+0.0001j | 1.8292+0.0018j
12000 | -1530.6573 | -518.7910 | 7.4326 | 1.6680| 1.6680 | 1.5625 | 0.0302+0.0001j | 1.9956+0.0039j
13000 | -1530.4075 | -502.6909 | 7.8447 | 1.6680| 1.6680 | 1.5625 | 0.0327+0.0001j | 2.1566+0.0094j
14000 | -1530.1591 | -487.1788 | 8.2457 | 1.6680| 1.6680 | 1.5625 | 0.0351+0.0001j | 2.3117+0.0146j
15000 | -1529.9105 | -472.0364 | 8.6469 | 1.6680| 1.6680 | 1.5625 | 0.0376+0.0001j | 2.4631+0.0170j
16000 | -1529.6650 | -457.2395 | 9.0456 | 1.6680| 1.6680 | 1.5625 | 0.0401+0.0002j | 2.6111+0.0198j
17000 | -1529.4230 | -442.8125 | 9.4393 | 1.6680| 1.6680 | 1.5625 | 0.0425+0.0002j | 2.7554+0.0232j
18000 | -1529.1801 | -428.8259 | 9.8299 | 1.6680| 1.6680 | 1.5625 | 0.0449+0.0002j | 2.8952+0.0248j
19000 | -1528.9368 | -415.0115 | 10.2231 | 1.6680| 1.6680 | 1.5625 | 0.0474+0.0002j | 3.0334+0.0274j
20000 | -1528.6961 | -401.3845 | 10.6110 | 1.6680| 1.6680 | 1.5625 | 0.0498+0.0002j | 3.1696+0.0271j
21000 | -1528.4551 | -388.2892 | 11.0042 | 1.6680| 1.6680 | 1.5625 | 0.0522+0.0002j | 3.3006+0.0280j
22000 | -1528.2175 | -375.2640 | 11.3937 | 1.6680| 1.6680 | 1.5625 | 0.0546+0.0002j | 3.4308+0.0294j
23000 | -1527.9805 | -362.4207 | 11.7835 | 1.6680| 1.6680 | 1.5625 | 0.0569+0.0001j | 3.5593+0.0290j
24000 | -1527.7447 | -349.6086 | 12.1804 | 1.6680| 1.6680 | 1.5625 | 0.0593+0.0001j | 3.6874+0.0304j
25000 | -1527.5070 | -337.0369 | 12.5774 | 1.6680| 1.6680 | 1.5625 | 0.0617+0.0001j | 3.8131+0.0313j
26000 | -1527.2713 | -324.4816 | 12.9799 | 1.6680| 1.6680 | 1.5625 | 0.0640+0.0001j | 3.9387-0.0313j
27000 | -1527.0338 | -312.1229 | 13.3849 | 1.6680| 1.6680 | 1.5625 | 0.0664+0.0001j | 4.0623+0.0313j
28000 | -1526.7969 | -299.9808 | 13.7950 | 1.6680| 1.6680 | 1.5625 | 0.0688+0.0001j | 4.1837+0.0307j
29000 | -1526.5600 | -287.8268 | 14.2087 | 1.6680| 1.6680 | 1.5625 | 0.0711+0.0001j | 4.3052+0.0292j
30000 | -1526.3239 | -275.6298 | 14.6297 | 1.6680| 1.6680 | 1.5625 | 0.0735+0.0001j | 4.4272+0.0286j
31000 | -1526.0883 | -263.5153 | 15.0629 | 1.6680| 1.6680 | 1.5625 | 0.0759+0.0001j | 4.5483+0.0283j
32000 | -1525.8517 | -251.7112 | 15.4952 | 1.6680| 1.6680 | 1.5625 | 0.0782+0.0001j | 4.6664+0.0290j
33000 | -1525.6174 | -239.9474 | 15.9333 | 1.6680| 1.6680 | 1.5625 | 0.0806+0.0001j | 4.7840+0.0300j
