# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_B.real | rho_P.real | -kTlog(Qs) | -kTlog(Qp)
1000 | -15.0819 | 9.4537 | 2.1069 | 1.6680| 1.6680 | 1.5625 | 0.2548+0.0079j | 16.6372+0.4986j
2000 | -14.8366 | 25.3592 | 2.5031 | 1.6680| 1.6680 | 1.5625 | 0.5002+0.0078j | 32.5427+0.4033j
3000 | -14.6258 | 40.0328 | 2.8530 | 1.6680| 1.6680 | 1.5625 | 0.7109+0.0022j | 47.2162-0.0179j
4000 | -14.4152 | 53.3715 | 3.1918 | 1.6680| 1.6680 | 1.5625 | 0.9216+0.0018j | 60.5550-0.0450j
5000 | -14.2217 | 66.8826 | 3.5225 | 1.6680| 1.6680 | 1.5625 | 1.1150+0.0020j | 74.0661+0.0894j
6000 | -14.0452 | 79.1683 | 3.8184 | 1.6680| 1.6680 | 1.5625 | 1.2916+0.0086j | 86.3518+0.4431j
7000 | -13.8748 | 90.6757 | 4.0973 | 1.6680| 1.6680 | 1.5625 | 1.4620+0.0122j | 97.8591+0.4790j
8000 | -13.7201 | 100.1825 | 4.3440 | 1.6680| 1.6680 | 1.5625 | 1.6166+0.0000j | 107.3660+0.2723j
9000 | -13.5775 | 109.6936 | 4.5803 | 1.6680| 1.6680 | 1.5625 | 1.7592-0.0007j | 116.8770-0.1485j
10000 | -13.4403 | 119.5122 | 4.8096 | 1.6680| 1.6680 | 1.5625 | 1.8964+0.0028j | 126.6957+0.3180j
11000 | -13.3114 | 128.3936 | 5.0161 | 1.6680| 1.6680 | 1.5625 | 2.0253+0.0057j | 135.5770-0.3132j
12000 | -13.1936 | 136.2648 | 5.2205 | 1.6680| 1.6680 | 1.5625 | 2.1432+0.0188j | 143.4483-0.8374j
13000 | -13.0792 | 143.3938 | 5.3989 | 1.6680| 1.6680 | 1.5625 | 2.2576+0.0237j | 150.5773-0.7211j
14000 | -12.9804 | 149.2627 | 5.5560 | 1.6680| 1.6680 | 1.5625 | 2.3563+0.0204j | 156.4462-0.6502j
15000 | -12.8899 | 156.1445 | 5.7062 | 1.6680| 1.6680 | 1.5625 | 2.4469+0.0272j | 163.3279-0.6854j
16000 | -12.8079 | 162.6242 | 5.8529 | 1.6680| 1.6680 | 1.5625 | 2.5288+0.0098j | 169.8077-1.3617j
17000 | -12.7359 | 167.5615 | 5.9586 | 1.6680| 1.6680 | 1.5625 | 2.6008+0.0058j | 174.7450-2.2826j
18000 | -12.6772 | 171.1332 | 6.0336 | 1.6680| 1.6680 | 1.5625 | 2.6596+0.0018j | 178.3167-1.8257j
19000 | -12.6265 | 174.3941 | 6.1385 | 1.6680| 1.6680 | 1.5625 | 2.7102+0.0043j | 181.5776-1.8271j
20000 | -12.5623 | 177.9527 | 6.2350 | 1.6680| 1.6680 | 1.5625 | 2.7745+0.0043j | 185.1362-2.7200j
21000 | -12.5145 | 182.0193 | 6.3185 | 1.6680| 1.6680 | 1.5625 | 2.8222+0.0059j | 189.2028-2.8794j
22000 | -12.4594 | 186.1033 | 6.4030 | 1.6680| 1.6680 | 1.5625 | 2.8773+0.0031j | 193.2867-2.8009j
23000 | -12.4190 | 191.5231 | 6.4759 | 1.6680| 1.6680 | 1.5625 | 2.9178+0.0028j | 198.7066-2.6119j
24000 | -12.3794 | 193.8249 | 6.5644 | 1.6680| 1.6680 | 1.5625 | 2.9574-0.0147j | 201.0084-1.0760j
25000 | -12.3409 | 196.3392 | 6.6293 | 1.6680| 1.6680 | 1.5625 | 2.9959-0.0285j | 203.5227-1.3568j
26000 | -12.3111 | 200.7997 | 6.6944 | 1.6680| 1.6680 | 1.5625 | 3.0257-0.0236j | 207.9832+1.5447j
27000 | -12.2768 | 204.2613 | 6.6812 | 1.6680| 1.6680 | 1.5625 | 3.0599-0.0243j | 211.4448+0.8413j
28000 | -12.2618 | 206.5708 | 6.8203 | 1.6680| 1.6680 | 1.5625 | 3.0750-0.0082j | 213.7543+1.7727j
29000 | -12.2466 | 210.2339 | 6.9308 | 1.6680| 1.6680 | 1.5625 | 3.0901-0.0017j | 217.4174+2.8602j
30000 | -12.2190 | 212.4101 | 6.8766 | 1.6680| 1.6680 | 1.5625 | 3.1177-0.0064j | 219.5936+3.0864j
31000 | -12.1841 | 215.1970 | 6.9550 | 1.6680| 1.6680 | 1.5625 | 3.1527-0.0049j | 222.3805+3.1397j
32000 | -12.1681 | 216.5933 | 7.0154 | 1.6680| 1.6680 | 1.5625 | 3.1686-0.0064j | 223.7768-2.0646j
33000 | -12.1438 | 218.1151 | 7.0183 | 1.6680| 1.6680 | 1.5625 | 3.1929-0.0033j | 225.2986+0.1742j
34000 | -12.1219 | 219.4818 | 7.0592 | 1.6680| 1.6680 | 1.5625 | 3.2148-0.0020j | 226.6653-1.2201j
35000 | -12.1322 | 221.9114 | 7.0605 | 1.6680| 1.6680 | 1.5625 | 3.2046+0.0057j | 229.0948-0.3222j
36000 | -12.1045 | 224.0350 | 7.1199 | 1.6680| 1.6680 | 1.5625 | 3.2322+0.0087j | 231.2185+0.8062j
37000 | -12.1075 | 226.7462 | 7.1813 | 1.6680| 1.6680 | 1.5625 | 3.2293+0.0017j | 233.9297+1.4021j
38000 | -12.0937 | 229.0524 | 7.2259 | 1.6680| 1.6680 | 1.5625 | 3.2430+0.0048j | 236.2359+1.2495j
39000 | -12.0729 | 232.1283 | 7.2119 | 1.6680| 1.6680 | 1.5625 | 3.2639+0.0060j | 239.3118+1.3349j
40000 | -12.0587 | 234.5612 | 7.1954 | 1.6680| 1.6680 | 1.5625 | 3.2781+0.0079j | 241.7447-1.0513j
41000 | -12.0301 | 233.7597 | 7.2909 | 1.6680| 1.6680 | 1.5625 | 3.3067+0.0037j | 240.9432-0.1150j
42000 | -12.0265 | 236.4976 | 7.3728 | 1.6680| 1.6680 | 1.5625 | 3.3102+0.0077j | 243.6810-0.7306j
43000 | -12.0151 | 235.6845 | 7.3242 | 1.6680| 1.6680 | 1.5625 | 3.3217+0.0083j | 242.8680+1.1827j
44000 | -12.0068 | 236.0687 | 7.3363 | 1.6680| 1.6680 | 1.5625 | 3.3299+0.0150j | 243.2522+0.6943j
45000 | -11.9845 | 236.4957 | 7.3361 | 1.6680| 1.6680 | 1.5625 | 3.3522+0.0137j | 243.6791+0.4136j
46000 | -11.9858 | 237.2664 | 7.3760 | 1.6680| 1.6680 | 1.5625 | 3.3509+0.0174j | 244.4499+0.5496j
47000 | -11.9741 | 237.6234 | 7.3889 | 1.6680| 1.6680 | 1.5625 | 3.3627+0.0345j | 244.8069-0.1456j
48000 | -11.9632 | 238.1487 | 7.3858 | 1.6680| 1.6680 | 1.5625 | 3.3736+0.0368j | 245.3321+0.0847j
49000 | -11.9618 | 238.8911 | 7.4000 | 1.6680| 1.6680 | 1.5625 | 3.3750+0.0267j | 246.0746+0.3214j
50000 | -11.9429 | 239.6683 | 7.4280 | 1.6680| 1.6680 | 1.5625 | 3.3939+0.0187j | 246.8518+1.3000j
51000 | -11.9304 | 241.2416 | 7.4579 | 1.6680| 1.6680 | 1.5625 | 3.4063+0.0241j | 248.4251+2.1139j
52000 | -11.9306 | 241.6148 | 7.4308 | 1.6680| 1.6680 | 1.5625 | 3.4062+0.0244j | 248.7983+2.4011j
53000 | -11.9251 | 241.9798 | 7.4688 | 1.6680| 1.6680 | 1.5625 | 3.4117+0.0205j | 249.1633+2.8858j
54000 | -11.9156 | 241.1979 | 7.4625 | 1.6680| 1.6680 | 1.5625 | 3.4212+0.0188j | 248.3813+1.9582j
55000 | -11.9101 | 242.8732 | 7.4907 | 1.6680| 1.6680 | 1.5625 | 3.4266+0.0128j | 250.0566+1.1481j
56000 | -11.8972 | 242.4513 | 7.4989 | 1.6680| 1.6680 | 1.5625 | 3.4396+0.0223j | 249.6347+0.8690j
57000 | -11.9105 | 241.1472 | 7.4847 | 1.6680| 1.6680 | 1.5625 | 3.4262+0.0266j | 248.3307+0.5707j
58000 | -11.9083 | 241.4131 | 7.4562 | 1.6680| 1.6680 | 1.5625 | 3.4284+0.0239j | 248.5966-0.2686j
59000 | -11.8992 | 241.6559 | 7.4714 | 1.6680| 1.6680 | 1.5625 | 3.4375+0.0213j | 248.8394+0.1365j
60000 | -11.8915 | 241.8643 | 7.4757 | 1.6680| 1.6680 | 1.5625 | 3.4453+0.0297j | 249.0478+0.0969j
61000 | -11.9022 | 243.2074 | 7.4943 | 1.6680| 1.6680 | 1.5625 | 3.4345+0.0366j | 250.3909-0.5066j
62000 | -11.9050 | 243.1092 | 7.4955 | 1.6680| 1.6680 | 1.5625 | 3.4317+0.0336j | 250.2927-0.7298j
63000 | -11.9078 | 243.3625 | 7.4946 | 1.6680| 1.6680 | 1.5625 | 3.4289+0.0302j | 250.5460-0.6345j
64000 | -11.9051 | 243.2556 | 7.5073 | 1.6680| 1.6680 | 1.5625 | 3.4316+0.0345j | 250.4391-0.3050j
65000 | -11.9013 | 243.3737 | 7.5105 | 1.6680| 1.6680 | 1.5625 | 3.4354+0.0367j | 250.5572+0.8860j
66000 | -11.8901 | 244.7940 | 7.5174 | 1.6680| 1.6680 | 1.5625 | 3.4467+0.0273j | 251.9775-0.1719j
67000 | -11.8898 | 245.9276 | 7.5403 | 1.6680| 1.6680 | 1.5625 | 3.4470+0.0276j | 253.1111+0.6518j
68000 | -11.8788 | 245.7607 | 7.5337 | 1.6680| 1.6680 | 1.5625 | 3.4579+0.0264j | 252.9442+0.0106j
69000 | -11.8865 | 245.9002 | 7.5291 | 1.6680| 1.6680 | 1.5625 | 3.4502+0.0244j | 253.0837+0.6431j
70000 | -11.8771 | 245.7603 | 7.5370 | 1.6680| 1.6680 | 1.5625 | 3.4597+0.0183j | 252.9438-0.7294j
71000 | -11.8699 | 245.0226 | 7.5302 | 1.6680| 1.6680 | 1.5625 | 3.4668+0.0107j | 252.2061-0.5956j
72000 | -11.8823 | 246.3582 | 7.5177 | 1.6680| 1.6680 | 1.5625 | 3.4544+0.0135j | 253.5416+0.1030j
73000 | -11.8642 | 245.2866 | 7.5392 | 1.6680| 1.6680 | 1.5625 | 3.4726-0.0006j | 252.4701-0.4820j
74000 | -11.8610 | 244.2055 | 7.5439 | 1.6680| 1.6680 | 1.5625 | 3.4758+0.0016j | 251.3890-0.2933j
75000 | -11.8548 | 243.0816 | 7.5255 | 1.6680| 1.6680 | 1.5625 | 3.4819-0.0018j | 250.2651+0.2482j
76000 | -11.8425 | 243.2469 | 7.5493 | 1.6680| 1.6680 | 1.5625 | 3.4942-0.0057j | 250.4304-0.2291j
77000 | -11.8585 | 243.7198 | 7.5298 | 1.6680| 1.6680 | 1.5625 | 3.4782+0.0031j | 250.9032-0.2061j
78000 | -11.8405 | 244.4118 | 7.5697 | 1.6680| 1.6680 | 1.5625 | 3.4962-0.0084j | 251.5953-0.5231j
79000 | -11.8480 | 242.7388 | 7.5559 | 1.6680| 1.6680 | 1.5625 | 3.4888-0.0132j | 249.9223-0.1155j
80000 | -11.8417 | 243.0128 | 7.5371 | 1.6680| 1.6680 | 1.5625 | 3.4951-0.0096j | 250.1962+0.3910j
81000 | -11.8516 | 242.1133 | 7.5083 | 1.6680| 1.6680 | 1.5625 | 3.4851+0.0097j | 249.2968+0.6093j
82000 | -11.8558 | 244.0661 | 7.5455 | 1.6680| 1.6680 | 1.5625 | 3.4809+0.0077j | 251.2496+0.4507j
83000 | -11.8502 | 244.5715 | 7.5563 | 1.6680| 1.6680 | 1.5625 | 3.4865+0.0238j | 251.7550+0.8378j
84000 | -11.8434 | 244.1329 | 7.5551 | 1.6680| 1.6680 | 1.5625 | 3.4934+0.0212j | 251.3164+0.5625j
85000 | -11.8462 | 243.9051 | 7.5599 | 1.6680| 1.6680 | 1.5625 | 3.4906+0.0285j | 251.0886+0.6306j
86000 | -11.8461 | 244.1123 | 7.5511 | 1.6680| 1.6680 | 1.5625 | 3.4907+0.0389j | 251.2958-1.4436j
87000 | -11.8339 | 243.9065 | 7.5750 | 1.6680| 1.6680 | 1.5625 | 3.5029+0.0385j | 251.0900-2.8707j
88000 | -11.8249 | 243.5449 | 7.5822 | 1.6680| 1.6680 | 1.5625 | 3.5118+0.0428j | 250.7284-2.6688j
89000 | -11.8134 | 242.4767 | 7.5685 | 1.6680| 1.6680 | 1.5625 | 3.5234+0.0332j | 249.6602-2.3381j
90000 | -11.8005 | 241.7293 | 7.5884 | 1.6680| 1.6680 | 1.5625 | 3.5362+0.0251j | 248.9128+2.1399j
91000 | -11.7996 | 241.7691 | 7.5827 | 1.6680| 1.6680 | 1.5625 | 3.5372+0.0220j | 248.9526+2.5138j
92000 | -11.8058 | 241.2862 | 7.5763 | 1.6680| 1.6680 | 1.5625 | 3.5309+0.0216j | 248.4696-2.8234j
93000 | -11.8078 | 240.3377 | 7.5775 | 1.6680| 1.6680 | 1.5625 | 3.5289+0.0305j | 247.5212-2.3213j
94000 | -11.8108 | 240.3049 | 7.5683 | 1.6680| 1.6680 | 1.5625 | 3.5260+0.0309j | 247.4884-2.5577j
95000 | -11.8038 | 239.7788 | 7.5646 | 1.6680| 1.6680 | 1.5625 | 3.5329+0.0297j | 246.9623-2.2409j
96000 | -11.7900 | 238.8401 | 7.5657 | 1.6680| 1.6680 | 1.5625 | 3.5467+0.0174j | 246.0236-2.4306j
97000 | -11.7898 | 238.5241 | 7.5598 | 1.6680| 1.6680 | 1.5625 | 3.5469+0.0172j | 245.7076-2.7110j
98000 | -11.7817 | 238.7234 | 7.5688 | 1.6680| 1.6680 | 1.5625 | 3.5551+0.0160j | 245.9069-2.4580j
99000 | -11.7793 | 237.5214 | 7.5572 | 1.6680| 1.6680 | 1.5625 | 3.5575+0.0011j | 244.7049-3.0741j
100000 | -11.7911 | 237.3747 | 7.5440 | 1.6680| 1.6680 | 1.5625 | 3.5457-0.0119j | 244.5582-2.7278j
