# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_B.real | rho_P.real | -kTlog(Qs) | -kTlog(Qp)
1000 | -448.3949 | 45.8525 | 6.2880 | 4.8828| 4.8828 | 0.0156 | 0.0573+0.0001j | 4.6571+0.0117j
2000 | -447.8254 | 91.8472 | 7.6845 | 4.8828| 4.8828 | 0.0156 | 0.1142+0.0000j | 9.2566-0.0168j
3000 | -447.2543 | 137.7300 | 9.0846 | 4.8828| 4.8828 | 0.0156 | 0.1714-0.0002j | 13.8448-0.0128j
4000 | -446.6889 | 182.3827 | 10.4704 | 4.8828| 4.8828 | 0.0156 | 0.2279-0.0005j | 18.3101-0.0686j
5000 | -446.1285 | 227.3150 | 11.8444 | 4.8828| 4.8828 | 0.0156 | 0.2839-0.0008j | 22.8033-0.0094j
6000 | -445.5723 | 272.3468 | 13.2076 | 4.8828| 4.8828 | 0.0156 | 0.3395-0.0008j | 27.3065-0.0712j
7000 | -445.0132 | 316.5389 | 14.5779 | 4.8828| 4.8828 | 0.0156 | 0.3955-0.0005j | 31.7257-0.0814j
8000 | -444.4618 | 360.9590 | 15.9294 | 4.8828| 4.8828 | 0.0156 | 0.4506-0.0005j | 36.1677-0.0276j
9000 | -443.9172 | 404.6499 | 17.2642 | 4.8828| 4.8828 | 0.0156 | 0.5051-0.0004j | 40.5368-0.0784j
10000 | -443.3750 | 448.2265 | 18.5930 | 4.8828| 4.8828 | 0.0156 | 0.5593-0.0005j | 44.8945-0.0586j
11000 | -442.8351 | 491.0589 | 19.9166 | 4.8828| 4.8828 | 0.0156 | 0.6133-0.0005j | 49.1777-0.0999j
12000 | -442.3012 | 532.5007 | 21.2249 | 4.8828| 4.8828 | 0.0156 | 0.6667-0.0006j | 53.3219-0.0710j
13000 | -441.7690 | 575.9455 | 22.5289 | 4.8828| 4.8828 | 0.0156 | 0.7199-0.0007j | 57.6664-0.0434j
14000 | -441.2426 | 619.2950 | 23.8196 | 4.8828| 4.8828 | 0.0156 | 0.7725-0.0008j | 62.0013-0.0218j
15000 | -440.7174 | 663.0081 | 25.1073 | 4.8828| 4.8828 | 0.0156 | 0.8250-0.0007j | 66.3726-0.0434j
16000 | -440.1963 | 705.2349 | 26.3838 | 4.8828| 4.8828 | 0.0156 | 0.8772-0.0009j | 70.5953-0.0372j
