# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_B.real | rho_P.real | -kTlog(Qs) | -kTlog(Qp)
1000 | -44.3383 | 44.8295 | 6.2540 | 4.8828| 4.8828 | 0.0156 | 0.5584-0.0016j | 44.9013-0.2361j
2000 | -43.8130 | 87.4853 | 7.5406 | 4.8828| 4.8828 | 0.0156 | 1.0838-0.0068j | 87.5571-0.6933j
3000 | -43.3175 | 127.0647 | 8.7536 | 4.8828| 4.8828 | 0.0156 | 1.5793-0.0164j | 127.1365-1.0254j
4000 | -42.8687 | 163.9576 | 9.8508 | 4.8828| 4.8828 | 0.0156 | 2.0280-0.0211j | 164.0294-0.8264j
5000 | -42.4433 | 199.7903 | 10.8923 | 4.8828| 4.8828 | 0.0156 | 2.4535-0.0188j | 199.8621-1.0805j
6000 | -42.0500 | 231.6345 | 11.8560 | 4.8828| 4.8828 | 0.0156 | 2.8468-0.0165j | 231.7064-0.6420j
7000 | -41.6828 | 261.1414 | 12.7553 | 4.8828| 4.8828 | 0.0156 | 3.2140-0.0159j | 261.2133-0.2507j
8000 | -41.3239 | 289.1911 | 13.6341 | 4.8828| 4.8828 | 0.0156 | 3.5729-0.0186j | 289.2630-0.6828j
9000 | -41.0053 | 314.9706 | 14.4125 | 4.8828| 4.8828 | 0.0156 | 3.8914-0.0130j | 315.0425-1.3581j
10000 | -40.7005 | 339.2989 | 15.1530 | 4.8828| 4.8828 | 0.0156 | 4.1963-0.0121j | 339.3707-0.4792j
11000 | -40.4191 | 362.3984 | 15.8407 | 4.8828| 4.8828 | 0.0156 | 4.4777-0.0192j | 362.4702-1.6787j
12000 | -40.1479 | 383.2105 | 16.5048 | 4.8828| 4.8828 | 0.0156 | 4.7489-0.0190j | 383.2823-1.4599j
13000 | -39.9059 | 403.3151 | 17.0904 | 4.8828| 4.8828 | 0.0156 | 4.9909-0.0092j | 403.3869-0.5477j
14000 | -39.6736 | 422.5646 | 17.6471 | 4.8828| 4.8828 | 0.0156 | 5.2232-0.0182j | 422.6365-1.7538j
15000 | -39.4660 | 439.1244 | 18.1572 | 4.8828| 4.8828 | 0.0156 | 5.4307-0.0140j | 439.1962-1.2687j
16000 | -39.2579 | 455.5692 | 18.6546 | 4.8828| 4.8828 | 0.0156 | 5.6389-0.0191j | 455.6410-1.1826j
17000 | -39.0729 | 471.5417 | 19.1022 | 4.8828| 4.8828 | 0.0156 | 5.8238-0.0290j | 471.6135-2.1414j
18000 | -38.8816 | 484.4404 | 19.5668 | 4.8828| 4.8828 | 0.0156 | 6.0152-0.0245j | 484.5122-1.6585j
19000 | -38.7225 | 497.5483 | 19.9549 | 4.8828| 4.8828 | 0.0156 | 6.1743-0.0226j | 497.6202-2.5463j
20000 | -38.5864 | 508.3529 | 20.2906 | 4.8828| 4.8828 | 0.0156 | 6.3104-0.0160j | 508.4247-1.7587j
21000 | -38.4352 | 517.3552 | 20.6612 | 4.8828| 4.8828 | 0.0156 | 6.4616-0.0106j | 517.4271-0.9544j
22000 | -38.3056 | 527.8843 | 20.9710 | 4.8828| 4.8828 | 0.0156 | 6.5911-0.0101j | 527.9561-0.8457j
23000 | -38.1816 | 540.0956 | 21.2737 | 4.8828| 4.8828 | 0.0156 | 6.7152-0.0160j | 540.1674-1.2223j
24000 | -38.0567 | 550.1345 | 21.5683 | 4.8828| 4.8828 | 0.0156 | 6.8401-0.0122j | 550.2063-1.3548j
25000 | -37.9420 | 560.0766 | 21.8574 | 4.8828| 4.8828 | 0.0156 | 6.9548-0.0205j | 560.1484-0.9717j
26000 | -37.8406 | 567.4135 | 22.1021 | 4.8828| 4.8828 | 0.0156 | 7.0562-0.0208j | 567.4854-1.4796j
27000 | -37.7501 | 574.2621 | 22.3144 | 4.8828| 4.8828 | 0.0156 | 7.1467-0.0261j | 574.3340-1.8170j
28000 | -37.6589 | 581.6759 | 22.5351 | 4.8828| 4.8828 | 0.0156 | 7.2379-0.0322j | 581.7478-2.2680j
29000 | -37.5740 | 588.0093 | 22.7254 | 4.8828| 4.8828 | 0.0156 | 7.3228-0.0300j | 588.0811-2.2829j
30000 | -37.5160 | 595.2329 | 22.8513 | 4.8828| 4.8828 | 0.0156 | 7.3808-0.0288j | 595.3048-1.8749j
31000 | -37.4351 | 600.3306 | 23.0558 | 4.8828| 4.8828 | 0.0156 | 7.4617-0.0266j | 600.4025-2.0810j
32000 | -37.3540 | 605.3167 | 23.2703 | 4.8828| 4.8828 | 0.0156 | 7.5428-0.0340j | 605.3886-2.3699j
33000 | -37.3049 | 610.2919 | 23.3899 | 4.8828| 4.8828 | 0.0156 | 7.5919-0.0266j | 610.3637-1.5449j
34000 | -37.2513 | 614.8530 | 23.5119 | 4.8828| 4.8828 | 0.0156 | 7.6455-0.0224j | 614.9248-1.5912j
35000 | -37.2053 | 619.1696 | 23.6214 | 4.8828| 4.8828 | 0.0156 | 7.6915-0.0148j | 619.2414-1.3157j
36000 | -37.1409 | 622.4507 | 23.7596 | 4.8828| 4.8828 | 0.0156 | 7.7558-0.0070j | 622.5226-0.4525j
37000 | -37.0920 | 626.0315 | 23.8981 | 4.8828| 4.8828 | 0.0156 | 7.8048+0.0032j | 626.1034+0.4219j
38000 | -37.0489 | 630.5226 | 24.0160 | 4.8828| 4.8828 | 0.0156 | 7.8479+0.0026j | 630.5944+0.8396j
