# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_B.real | rho_P.real | -kTlog(Qs) | -kTlog(Qp)
1000 | -0.0003 | -0.0535 | 4.8834 | 4.8828| 4.8828 | 0.0156 | -0.0003-0.0020j | -0.0535-0.0559j
2000 | -0.0002 | -0.0477 | 4.8829 | 4.8828| 4.8828 | 0.0156 | -0.0002-0.0020j | -0.0477-0.0559j
3000 | 0.0005 | -0.0165 | 4.8826 | 4.8828| 4.8828 | 0.0156 | 0.0005-0.0020j | -0.0165-0.0557j
4000 | 0.0000 | -0.0378 | 4.8835 | 4.8828| 4.8828 | 0.0156 | 0.0000-0.0020j | -0.0378-0.0562j
5000 | -0.0001 | -0.0434 | 4.8830 | 4.8828| 4.8828 | 0.0156 | -0.0001-0.0020j | -0.0434-0.0555j
6000 | -0.0003 | -0.0511 | 4.8839 | 4.8828| 4.8828 | 0.0156 | -0.0003-0.0020j | -0.0511-0.0560j
7000 | 0.0004 | -0.0191 | 4.8834 | 4.8828| 4.8828 | 0.0156 | 0.0004-0.0020j | -0.0191-0.0557j
8000 | -0.0001 | -0.0425 | 4.8841 | 4.8828| 4.8828 | 0.0156 | -0.0001-0.0020j | -0.0425-0.0553j
9000 | 0.0003 | -0.0259 | 4.8825 | 4.8828| 4.8828 | 0.0156 | 0.0003-0.0020j | -0.0259-0.0559j
10000 | 0.0004 | -0.0195 | 4.8836 | 4.8828| 4.8828 | 0.0156 | 0.0004-0.0020j | -0.0195-0.0560j
11000 | 0.0000 | -0.0353 | 4.8835 | 4.8828| 4.8828 | 0.0156 | 0.0000-0.0020j | -0.0353-0.0556j
12000 | -0.0004 | -0.0574 | 4.8839 | 4.8828| 4.8828 | 0.0156 | -0.0004-0.0020j | -0.0574-0.0554j
13000 | 0.0002 | -0.0289 | 4.8831 | 4.8828| 4.8828 | 0.0156 | 0.0002-0.0020j | -0.0289-0.0558j
14000 | 0.0003 | -0.0234 | 4.8831 | 4.8828| 4.8828 | 0.0156 | 0.0003-0.0020j | -0.0234-0.0558j
15000 | -0.0004 | -0.0530 | 4.8841 | 4.8828| 4.8828 | 0.0156 | -0.0004-0.0020j | -0.0530-0.0557j
16000 | 0.0001 | -0.0320 | 4.8840 | 4.8828| 4.8828 | 0.0156 | 0.0001-0.0020j | -0.0320-0.0554j
17000 | -0.0000 | -0.0398 | 4.8835 | 4.8828| 4.8828 | 0.0156 | -0.0000-0.0020j | -0.0398-0.0563j
18000 | -0.0003 | -0.0506 | 4.8838 | 4.8828| 4.8828 | 0.0156 | -0.0003-0.0020j | -0.0506-0.0557j
19000 | 0.0007 | -0.0073 | 4.8837 | 4.8828| 4.8828 | 0.0156 | 0.0007-0.0020j | -0.0073-0.0561j
20000 | -0.0000 | -0.0386 | 4.8837 | 4.8828| 4.8828 | 0.0156 | -0.0000-0.0020j | -0.0386-0.0552j
21000 | -0.0006 | -0.0651 | 4.8835 | 4.8828| 4.8828 | 0.0156 | -0.0006-0.0020j | -0.0651-0.0559j
