# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_P.real | -kTlog(Qa) | -kTlog(Qp)
1000 | -0.0781 | 16.0462 | 3.9739 | 3.3359| 1.5625 | -2.3710-0.3558j | 803.0269+23.9138j
2000 | -0.0640 | 16.9588 | 3.9732 | 3.3359| 1.5625 | -1.6672+0.1427j | 848.6561-9.9389j
3000 | -0.0470 | 18.0327 | 3.9735 | 3.3359| 1.5625 | -0.8151-0.1026j | 902.3541+6.4601j
4000 | -0.0611 | 17.1188 | 3.9737 | 3.3359| 1.5625 | -1.5193+1.1170j | 856.6576-71.8386j
5000 | -0.0627 | 17.0041 | 3.9738 | 3.3359| 1.5625 | -1.6032-0.1198j | 850.9253+7.2979j
6000 | -0.0651 | 16.8594 | 3.9738 | 3.3359| 1.5625 | -1.7216-0.6225j | 843.6903+40.1239j
7000 | -0.0689 | 16.6074 | 3.9739 | 3.3359| 1.5625 | -1.9099-0.0487j | 831.0878+3.4087j
8000 | -0.0708 | 16.5122 | 3.9735 | 3.3359| 1.5625 | -2.0076+0.1409j | 826.3297-8.8257j
9000 | -0.0719 | 16.4293 | 3.9737 | 3.3359| 1.5625 | -2.0616-0.1929j | 822.1842+12.9065j
10000 | -0.0957 | 14.9427 | 3.9731 | 3.3359| 1.5625 | -3.2495+1.8188j | 747.8524-118.0526j
11000 | -0.0736 | 16.3210 | 3.9736 | 3.3359| 1.5625 | -2.1482+0.1549j | 816.7659-11.0934j
12000 | -0.0794 | 15.9609 | 3.9734 | 3.3359| 1.5625 | -2.4365+0.7572j | 798.7633-47.7958j
13000 | -0.0825 | 15.7431 | 3.9738 | 3.3359| 1.5625 | -2.5924+0.3366j | 787.8721-20.9191j
14000 | -0.0777 | 16.0662 | 3.9735 | 3.3359| 1.5625 | -2.3527-0.5452j | 804.0300+34.2782j
15000 | -0.0588 | 17.2662 | 3.9737 | 3.3359| 1.5625 | -1.4058-0.4202j | 864.0277+26.3660j
16000 | -0.0582 | 17.2922 | 3.9739 | 3.3359| 1.5625 | -1.3752+0.3019j | 865.3266-18.9393j
17000 | -0.0930 | 15.0672 | 3.9739 | 3.3359| 1.5625 | -3.1156-1.2345j | 754.0790+78.9916j
18000 | -0.0852 | 15.5937 | 3.9734 | 3.3359| 1.5625 | -2.7272-0.1631j | 780.4018+11.5333j
19000 | -0.0722 | 16.4155 | 3.9736 | 3.3359| 1.5625 | -2.0743-1.0273j | 821.4952+66.2944j
20000 | -0.0717 | 16.4483 | 3.9735 | 3.3359| 1.5625 | -2.0536-0.1703j | 823.1316+9.9774j
21000 | -0.0596 | 17.2068 | 3.9738 | 3.3359| 1.5625 | -1.4485-0.0488j | 861.0586+2.8815j
22000 | -0.0753 | 16.2015 | 3.9738 | 3.3359| 1.5625 | -2.2331-0.4901j | 810.7945+30.9391j
23000 | -0.0635 | 16.9718 | 3.9733 | 3.3359| 1.5625 | -1.6413-0.6387j | 849.3078+41.5494j
24000 | -0.0677 | 16.6945 | 3.9737 | 3.3359| 1.5625 | -1.8531+0.2713j | 835.4447-18.0596j
25000 | -0.0757 | 16.1896 | 3.9736 | 3.3359| 1.5625 | -2.2524+0.2040j | 810.1994-12.7726j
26000 | -0.0695 | 16.5987 | 3.9733 | 3.3359| 1.5625 | -1.9427-0.4916j | 830.6550+31.8960j
27000 | -0.0854 | 15.5866 | 3.9733 | 3.3359| 1.5625 | -2.7377-0.0621j | 780.0505+3.4366j
28000 | -0.0638 | 16.9634 | 3.9733 | 3.3359| 1.5625 | -1.6563-0.1472j | 848.8902+9.5225j
29000 | -0.0860 | 15.5336 | 3.9735 | 3.3359| 1.5625 | -2.7671+0.3823j | 777.4004-24.5677j
30000 | -0.0782 | 16.0291 | 3.9735 | 3.3359| 1.5625 | -2.3747-0.3460j | 802.1749+21.6003j
31000 | -0.0621 | 17.0632 | 3.9736 | 3.3359| 1.5625 | -1.5690-0.1809j | 853.8785+11.9554j
32000 | -0.0690 | 16.6005 | 3.9739 | 3.3359| 1.5625 | -1.9185+0.5768j | 830.7435-38.0751j
33000 | -0.0730 | 16.3677 | 3.9735 | 3.3359| 1.5625 | -2.1154+0.6068j | 819.1028-40.4657j
34000 | -0.0698 | 16.5519 | 3.9738 | 3.3359| 1.5625 | -1.9574-0.0455j | 828.3157+2.7401j
35000 | -0.0795 | 15.9578 | 3.9734 | 3.3359| 1.5625 | -2.4417-0.2837j | 798.6094+18.3964j
36000 | -0.0610 | 17.1102 | 3.9740 | 3.3359| 1.5625 | -1.5164-0.0692j | 856.2302+4.9128j
37000 | -0.0769 | 16.1157 | 3.9737 | 3.3359| 1.5625 | -2.3093+0.2285j | 806.5049-14.9819j
38000 | -0.0795 | 15.9626 | 3.9733 | 3.3359| 1.5625 | -2.4389-0.2283j | 798.8475+14.9014j
39000 | -0.0887 | 15.3529 | 3.9737 | 3.3359| 1.5625 | -2.9004-0.1703j | 768.3652+10.4237j
