# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_P.real | -kTlog(Qa) | -kTlog(Qp)
1000 | -22.4486 | -38.9865 | 4.8831 | 4.8828| 0.0156 | -0.0000-0.0001j | -3.8915+0.0040j
2000 | -22.4476 | -77.9487 | 4.8831 | 4.8828| 0.0156 | 0.0001-0.0000j | -7.7877-0.0174j
3000 | -22.4523 | -117.6599 | 4.8831 | 4.8828| 0.0156 | -0.0004-0.0000j | -11.7588-0.0605j
4000 | -22.4569 | -157.7849 | 4.8832 | 4.8828| 0.0156 | -0.0009-0.0002j | -15.7713-0.0973j
5000 | -22.4602 | -199.1853 | 4.8833 | 4.8828| 0.0156 | -0.0012-0.0002j | -19.9114-0.1807j
6000 | -22.4629 | -243.1521 | 4.8834 | 4.8828| 0.0156 | -0.0015-0.0001j | -24.3080-0.2010j
7000 | -22.4660 | -288.0984 | 4.8835 | 4.8828| 0.0156 | -0.0018-0.0002j | -28.8027-0.2683j
8000 | -22.4692 | -334.3108 | 4.8836 | 4.8828| 0.0156 | -0.0021+0.0001j | -33.4239+0.1489j
9000 | -22.4726 | -383.3603 | 4.8837 | 4.8828| 0.0156 | -0.0024+0.0002j | -38.3288-0.0515j
10000 | -22.4747 | -435.6026 | 4.8838 | 4.8828| 0.0156 | -0.0026+0.0002j | -43.5531-0.1592j
11000 | -22.4775 | -487.9907 | 4.8839 | 4.8828| 0.0156 | -0.0029+0.0003j | -48.7919-0.2286j
12000 | -22.4820 | -543.8511 | 4.8841 | 4.8828| 0.0156 | -0.0034+0.0001j | -54.3779+0.2322j
13000 | -22.4841 | -601.6017 | 4.8842 | 4.8828| 0.0156 | -0.0036+0.0001j | -60.1530+0.0469j
14000 | -22.4838 | -663.4061 | 4.8843 | 4.8828| 0.0156 | -0.0035-0.0000j | -66.3334-0.0815j
