# step | beta_mu_ex_S.real | beta_mu_ex_P.real | beta_P.real | rho_A.real | rho_P.real | -kTlog(Qa) | -kTlog(Qp)
1000 | -0.0129 | 53.0807 | 4.8929 | 4.8828| 0.0156 | 0.9555+1.9802j | 5308.0747-127.8971j
2000 | -0.0326 | 51.8036 | 4.8929 | 4.8828| 0.0156 | -1.0145-0.8998j | 5180.3707+57.9103j
3000 | -0.0530 | 50.4959 | 4.8929 | 4.8828| 0.0156 | -3.0588+0.7504j | 5049.6015-47.4633j
4000 | -0.0272 | 52.1546 | 4.8929 | 4.8828| 0.0156 | -0.4771+1.3905j | 5215.4714-88.5792j
5000 | -0.0159 | 52.8714 | 4.8929 | 4.8828| 0.0156 | 0.6556-0.6767j | 5287.1481+42.8000j
6000 | -0.0175 | 52.7672 | 4.8929 | 4.8828| 0.0156 | 0.4934+0.0417j | 5276.7295-2.6684j
7000 | -0.0174 | 52.7688 | 4.8929 | 4.8828| 0.0156 | 0.5048-0.8299j | 5276.8901+53.5886j
8000 | -0.0179 | 52.7381 | 4.8929 | 4.8828| 0.0156 | 0.4524-1.3539j | 5273.8144+86.4996j
9000 | -0.0379 | 51.4620 | 4.8929 | 4.8828| 0.0156 | -1.5454+0.5867j | 5146.2082-38.2529j
10000 | -0.0309 | 51.9216 | 4.8929 | 4.8828| 0.0156 | -0.8480+2.5042j | 5192.1666-160.0406j
11000 | 0.0046 | 54.1915 | 4.8929 | 4.8828| 0.0156 | 2.7049+2.8569j | 5419.1579-182.6186j
12000 | -0.0190 | 52.6833 | 4.8929 | 4.8828| 0.0156 | 0.3480-0.9200j | 5268.3335+59.2060j
13000 | -0.0501 | 50.6982 | 4.8929 | 4.8828| 0.0156 | -2.7630+1.7348j | 5069.8245-111.6702j
14000 | -0.0109 | 53.2039 | 4.8929 | 4.8828| 0.0156 | 1.1581-2.0557j | 5320.3981+132.1551j
15000 | -0.0274 | 52.1332 | 4.8929 | 4.8828| 0.0156 | -0.4968+1.2306j | 5213.3266-78.6205j
16000 | -0.0121 | 53.1269 | 4.8929 | 4.8828| 0.0156 | 1.0360+1.1344j | 5312.6937-72.1750j
