# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
10000 117.85 -0.17 127.15 -0.19 2.00 126.83-0.17j
20000 164.37 -0.26 173.59 -0.25 2.00 173.35-0.26j
30000 181.50 0.22 190.67 0.21 2.00 190.48+0.22j
40000 187.80 -0.04 197.01 -0.07 2.00 196.78-0.04j
50000 190.11 -0.22 199.30 -0.22 2.00 199.09-0.22j
60000 190.96 0.05 200.22 0.04 2.00 199.94+0.05j
70000 191.26 0.01 200.58 -0.00 2.00 200.24+0.01j
80000 191.38 -0.02 200.69 -0.02 2.00 200.36-0.02j
90000 191.44 0.10 200.68 0.09 2.00 200.42+0.10j
100000 191.44 0.27 200.65 0.26 2.00 200.42+0.27j
110000 191.46 0.22 200.67 0.21 2.00 200.44+0.22j
120000 191.45 0.05 200.70 0.05 2.00 200.43+0.05j
130000 191.45 -0.25 200.68 -0.24 2.00 200.43-0.25j
140000 191.45 -0.17 200.74 -0.17 2.00 200.43-0.17j
150000 191.48 -0.09 200.70 -0.07 2.00 200.46-0.09j
160000 191.48 0.07 200.69 0.09 2.00 200.46+0.07j
170000 191.47 0.08 200.70 0.10 2.00 200.45+0.08j
180000 191.47 -0.08 200.75 -0.07 2.00 200.44-0.08j
190000 191.48 -0.08 200.70 -0.10 2.00 200.45-0.08j
200000 191.47 -0.13 200.70 -0.11 2.00 200.45-0.13j
210000 191.47 -0.02 200.72 0.00 2.00 200.45-0.02j
220000 191.46 -0.27 200.75 -0.24 2.00 200.44-0.27j
230000 191.48 -0.18 200.73 -0.19 2.00 200.46-0.18j
240000 191.46 -0.06 200.82 -0.05 2.00 200.44-0.06j
250000 191.47 0.36 200.75 0.38 2.00 200.45+0.36j
260000 191.45 0.03 200.79 0.01 2.00 200.43+0.03j
270000 191.48 -0.24 200.74 -0.23 2.00 200.46-0.24j
280000 191.47 -0.13 200.71 -0.16 2.00 200.45-0.13j
290000 191.49 0.05 200.78 0.04 2.00 200.47+0.05j
300000 191.47 0.12 200.74 0.13 2.00 200.45+0.12j
310000 191.50 -0.04 200.68 -0.04 2.00 200.48-0.04j
320000 191.48 -0.24 200.81 -0.22 2.00 200.46-0.24j
330000 191.50 -0.43 200.73 -0.43 2.00 200.48-0.43j
340000 191.50 -0.18 200.81 -0.13 2.00 200.48-0.18j
350000 191.50 -0.22 200.76 -0.20 2.00 200.48-0.22j
360000 191.50 -0.11 200.77 -0.08 2.00 200.48-0.11j
370000 191.50 0.10 200.74 0.09 2.00 200.47+0.10j
380000 191.48 0.13 200.81 0.13 2.00 200.45+0.13j
390000 191.50 0.16 200.74 0.20 2.00 200.48+0.16j
400000 191.48 0.04 200.74 0.03 2.00 200.46+0.04j
410000 191.49 -0.06 200.76 -0.06 2.00 200.47-0.06j
420000 191.49 0.13 200.76 0.18 2.00 200.47+0.13j
