# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
10000 117.86 0.12 127.14 0.13 2.00 126.84+0.12j
20000 164.37 0.14 173.60 0.14 2.00 173.35+0.14j
30000 181.49 0.16 190.74 0.19 2.00 190.47+0.16j
40000 187.79 -0.07 197.02 -0.05 2.00 196.77-0.07j
50000 190.10 0.03 199.34 0.02 2.00 199.08+0.03j
60000 190.96 -0.10 200.18 -0.09 2.00 199.94-0.10j
70000 191.27 -0.13 200.49 -0.11 2.00 200.25-0.13j
80000 191.39 -0.09 200.63 -0.07 2.00 200.37-0.09j
90000 191.43 -0.08 200.67 -0.10 2.00 200.40-0.08j
100000 191.44 -0.07 200.70 -0.07 2.00 200.42-0.07j
110000 191.47 -0.16 200.66 -0.15 2.00 200.44-0.16j
120000 191.46 -0.04 200.70 -0.02 2.00 200.44-0.04j
130000 191.46 -0.16 200.71 -0.16 2.00 200.44-0.16j
140000 191.46 -0.06 200.71 -0.07 2.00 200.44-0.06j
150000 191.45 0.18 200.70 0.17 2.00 200.43+0.18j
160000 191.46 0.03 200.72 0.04 2.00 200.44+0.03j
170000 191.46 -0.05 200.72 -0.06 2.00 200.44-0.05j
180000 191.46 -0.03 200.70 -0.02 2.00 200.44-0.03j
190000 191.47 0.10 200.70 0.16 2.00 200.45+0.10j
200000 191.47 -0.07 200.73 -0.06 2.00 200.45-0.07j
210000 191.46 0.14 200.66 0.16 2.00 200.43+0.14j
220000 191.47 -0.02 200.69 -0.01 2.00 200.45-0.02j
230000 191.46 -0.15 200.75 -0.16 2.00 200.43-0.15j
240000 191.48 0.18 200.69 0.18 2.00 200.46+0.18j
250000 191.47 -0.08 200.73 -0.05 2.00 200.45-0.08j
260000 191.47 -0.34 200.67 -0.32 2.00 200.45-0.34j
270000 191.47 -0.40 200.71 -0.39 2.00 200.45-0.40j
280000 191.46 -0.05 200.75 -0.06 2.00 200.44-0.05j
290000 191.47 -0.15 200.76 -0.13 2.00 200.45-0.15j
300000 191.48 0.04 200.72 0.04 2.00 200.46+0.04j
310000 191.48 -0.01 200.74 -0.00 2.00 200.46-0.01j
320000 191.48 0.20 200.81 0.17 2.00 200.45+0.20j
330000 191.47 0.13 200.73 0.15 2.00 200.45+0.13j
340000 191.49 0.26 200.69 0.28 2.00 200.47+0.26j
350000 191.48 -0.04 200.72 -0.03 2.00 200.46-0.04j
360000 191.47 -0.09 200.77 -0.07 2.00 200.45-0.09j
370000 191.47 -0.15 200.72 -0.11 2.00 200.45-0.15j
380000 191.48 0.04 200.71 0.03 2.00 200.46+0.04j
390000 191.45 -0.02 200.93 0.11 2.00 200.43-0.02j
400000 191.48 0.07 200.74 0.07 2.00 200.46+0.07j
410000 191.48 0.02 200.70 0.05 2.00 200.46+0.02j
420000 191.48 -0.07 200.79 -0.10 2.00 200.46-0.07j
430000 191.48 -0.07 200.76 -0.06 2.00 200.46-0.07j
440000 191.46 -0.02 200.75 -0.01 2.00 200.44-0.02j
450000 191.49 0.15 200.69 0.16 2.00 200.47+0.15j
460000 191.49 0.06 200.73 0.06 2.00 200.47+0.06j
470000 191.48 -0.20 200.68 -0.17 2.00 200.46-0.20j
480000 191.49 0.03 200.71 0.05 2.00 200.47+0.03j
490000 191.48 -0.06 200.70 -0.05 2.00 200.46-0.06j
500000 191.49 0.02 200.72 0.06 2.00 200.46+0.02j
510000 191.47 -0.13 200.71 -0.14 2.00 200.45-0.13j
520000 191.48 -0.20 200.77 -0.19 2.00 200.46-0.20j
530000 191.49 0.01 200.71 0.03 2.00 200.47+0.01j
540000 191.50 -0.12 200.76 -0.10 2.00 200.48-0.12j
550000 191.49 0.03 200.75 0.07 2.00 200.47+0.03j
560000 191.51 -0.36 200.73 -0.36 2.00 200.49-0.36j
570000 191.49 -0.05 200.73 -0.01 2.00 200.47-0.05j
580000 191.48 0.22 200.77 0.25 2.00 200.46+0.22j
590000 191.49 0.12 200.70 0.13 2.00 200.47+0.12j
600000 191.49 0.04 200.72 0.05 2.00 200.47+0.04j
610000 191.49 0.05 200.73 0.07 2.00 200.47+0.05j
620000 191.49 -0.13 200.74 -0.09 2.00 200.47-0.13j
630000 191.49 -0.05 200.74 -0.04 2.00 200.47-0.05j
640000 191.48 -0.08 200.77 -0.03 2.00 200.46-0.08j
650000 191.50 0.18 200.76 0.22 2.00 200.48+0.18j
