# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
10000 0.01 0.01 0.10 0.00 0.10 0.02+0.01j
20000 0.01 0.00 0.10 -0.00 0.10 0.02+0.00j
30000 0.01 -0.00 0.10 -0.00 0.10 0.02-0.00j
40000 0.01 -0.00 0.10 0.00 0.10 0.02-0.00j
50000 0.01 0.00 0.10 0.00 0.10 0.02+0.00j
60000 0.01 0.01 0.10 0.00 0.10 0.02+0.01j
70000 0.01 0.00 0.10 0.00 0.10 0.02+0.00j
80000 0.01 -0.00 0.10 -0.00 0.10 0.02-0.00j
90000 0.01 -0.00 0.10 0.00 0.10 0.02-0.00j
100000 0.01 -0.01 0.10 -0.00 0.10 0.02-0.01j
110000 0.01 -0.00 0.10 -0.00 0.10 0.02-0.00j
120000 0.01 -0.00 0.10 -0.00 0.10 0.02-0.00j
130000 0.01 -0.01 0.10 -0.00 0.10 0.02-0.01j
140000 0.01 -0.00 0.10 0.00 0.10 0.02-0.00j
150000 0.01 0.00 0.10 0.00 0.10 0.02+0.00j
160000 0.01 -0.00 0.10 -0.00 0.10 0.02-0.00j
170000 0.01 -0.00 0.10 -0.00 0.10 0.02-0.00j
180000 0.01 0.00 0.10 0.00 0.10 0.02+0.00j
190000 0.01 0.00 0.10 0.00 0.10 0.02+0.00j
200000 0.01 0.00 0.10 0.00 0.10 0.02+0.00j
210000 0.01 0.00 0.10 0.00 0.10 0.02+0.00j
220000 0.01 -0.00 0.10 -0.00 0.10 0.02-0.00j
230000 0.01 0.00 0.10 0.00 0.10 0.02+0.00j
240000 0.01 -0.00 0.10 -0.00 0.10 0.02-0.00j
250000 0.01 -0.01 0.10 -0.00 0.10 0.02-0.01j
260000 0.01 0.00 0.10 0.00 0.10 0.02+0.00j
270000 0.01 0.00 0.10 0.00 0.10 0.02+0.00j
280000 0.01 0.00 0.10 -0.00 0.10 0.02+0.00j
290000 0.01 0.01 0.10 0.00 0.10 0.02+0.01j
300000 0.01 0.00 0.10 -0.00 0.10 0.02+0.00j
310000 0.01 0.00 0.10 0.00 0.10 0.02+0.00j
320000 0.01 -0.00 0.10 -0.00 0.10 0.02-0.00j
330000 0.01 -0.00 0.10 -0.00 0.10 0.02-0.00j
340000 0.01 -0.00 0.10 -0.00 0.10 0.02-0.00j
350000 0.01 0.01 0.10 0.00 0.10 0.02+0.01j
360000 0.01 -0.00 0.10 -0.00 0.10 0.02-0.00j
370000 0.01 0.00 0.10 0.00 0.10 0.02+0.00j
380000 0.01 0.00 0.10 0.00 0.10 0.02+0.00j
390000 0.01 0.00 0.10 0.00 0.10 0.02+0.00j
400000 0.01 -0.00 0.10 -0.00 0.10 0.02-0.00j
410000 0.01 -0.01 0.10 -0.00 0.10 0.02-0.01j
420000 0.01 -0.00 0.10 -0.00 0.10 0.02-0.00j
430000 0.01 -0.00 0.10 -0.00 0.10 0.02-0.00j
440000 0.01 -0.00 0.10 -0.00 0.10 0.02-0.00j
450000 0.01 0.00 0.10 0.00 0.10 0.02+0.00j
460000 0.01 0.00 0.10 0.00 0.10 0.02+0.00j
470000 0.01 0.01 0.10 0.00 0.10 0.02+0.01j
480000 0.01 0.00 0.10 0.00 0.10 0.02+0.00j
490000 0.01 -0.01 0.10 -0.00 0.10 0.02-0.01j
500000 0.01 0.00 0.10 0.00 0.10 0.02+0.00j
