# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
10000 0.46 -0.06 0.38 0.04 0.10 9.44-0.06j
20000 2.99 0.23 0.51 -0.00 0.10 11.97+0.23j
30000 3.85 -0.03 0.55 -0.00 0.10 12.83-0.03j
40000 4.14 -0.06 0.57 -0.05 0.10 13.12-0.06j
50000 4.14 0.87 0.60 0.01 0.10 13.12+0.87j
60000 4.09 0.41 0.52 0.03 0.10 13.07+0.41j
70000 4.19 0.54 0.60 -0.03 0.10 13.17+0.54j
80000 4.43 0.83 0.57 -0.02 0.10 13.41+0.83j
90000 4.31 1.12 0.59 0.00 0.10 13.29+1.12j
100000 4.35 1.58 0.60 0.07 0.10 13.33+1.58j
110000 4.10 2.48 0.61 0.02 0.10 13.08+2.48j
120000 4.14 2.46 0.57 0.01 0.10 13.12+2.46j
130000 4.27 2.77 0.58 -0.02 0.10 13.25+2.77j
140000 4.16 2.43 0.59 0.01 0.10 13.14+2.43j
150000 4.28 2.51 0.56 0.04 0.10 13.26+2.51j
160000 4.29 3.06 0.61 0.05 0.10 13.27+3.06j
170000 4.19 2.79 0.58 -0.02 0.10 13.17+2.79j
180000 4.24 2.99 0.57 0.01 0.10 13.22+2.99j
190000 4.15 2.65 0.57 -0.00 0.10 13.13+2.65j
200000 4.31 2.48 0.60 0.01 0.10 13.29+2.48j
210000 4.26 2.80 0.61 0.02 0.10 13.23+2.80j
220000 4.10 2.98 0.53 -0.03 0.10 13.08+2.98j
230000 4.36 2.35 0.58 0.03 0.10 13.34+2.35j
240000 4.15 1.96 0.62 -0.02 0.10 13.13+1.96j
250000 4.12 1.65 0.61 -0.04 0.10 13.09+1.65j
260000 4.29 1.61 0.58 -0.03 0.10 13.27+1.61j
270000 4.28 1.92 0.55 -0.02 0.10 13.26+1.92j
280000 4.33 2.05 0.61 0.01 0.10 13.31+2.05j
290000 4.28 2.06 0.57 0.02 0.10 13.26+2.06j
300000 4.39 2.04 0.57 0.00 0.10 13.36+2.04j
310000 4.49 2.60 0.58 0.02 0.10 13.47+2.60j
320000 4.17 1.96 0.58 -0.00 0.10 13.15+1.96j
330000 4.32 1.71 0.60 0.01 0.10 13.30+1.71j
340000 4.32 1.48 0.57 0.07 0.10 13.30+1.48j
350000 4.21 2.00 0.61 0.01 0.10 13.19+2.00j
360000 4.35 1.91 0.58 -0.02 0.10 13.33+1.91j
370000 4.28 1.29 0.58 0.02 0.10 13.26+1.29j
380000 4.22 0.94 0.57 -0.03 0.10 13.20+0.94j
390000 4.32 1.39 0.59 0.02 0.10 13.30+1.39j
400000 4.19 1.45 0.58 -0.04 0.10 13.17+1.45j
410000 4.18 1.51 0.57 0.03 0.10 13.16+1.51j
420000 4.46 0.86 0.58 -0.03 0.10 13.44+0.86j
430000 4.25 1.23 0.59 -0.00 0.10 13.23+1.23j
440000 4.33 0.97 0.58 0.02 0.10 13.31+0.97j
450000 4.39 0.66 0.56 0.01 0.10 13.37+0.66j
460000 4.25 0.80 0.58 -0.05 0.10 13.23+0.80j
470000 4.30 0.25 0.60 0.00 0.10 13.28+0.25j
480000 4.26 0.65 0.49 0.05 0.10 13.24+0.65j
490000 4.17 0.68 0.56 -0.01 0.10 13.15+0.68j
500000 4.18 0.46 0.60 -0.01 0.10 13.16+0.46j
510000 4.30 1.05 0.60 0.01 0.10 13.28+1.05j
520000 4.19 0.80 0.57 0.03 0.10 13.17+0.80j
530000 4.44 1.78 0.57 0.01 0.10 13.42+1.78j
540000 4.15 2.84 0.59 -0.00 0.10 13.13+2.84j
550000 4.39 2.82 0.59 -0.00 0.10 13.37+2.82j
560000 4.37 1.94 0.62 -0.01 0.10 13.35+1.94j
570000 4.26 2.21 0.59 0.05 0.10 13.24+2.21j
580000 4.32 2.55 0.57 -0.02 0.10 13.30+2.55j
590000 4.41 2.50 0.58 -0.05 0.10 13.39+2.50j
600000 4.32 2.51 0.60 -0.01 0.10 13.30+2.51j
610000 4.10 2.21 0.58 -0.03 0.10 13.08+2.21j
620000 4.57 3.01 0.55 0.01 0.10 13.55+3.01j
630000 4.25 -2.91 0.56 0.02 0.10 13.23-2.91j
640000 4.26 -2.83 0.61 -0.05 0.10 13.24-2.83j
650000 4.27 -2.81 0.54 -0.02 0.10 13.24-2.81j
660000 4.36 3.02 0.55 -0.02 0.10 13.34+3.02j
670000 4.23 2.53 0.54 0.03 0.10 13.21+2.53j
680000 4.36 -2.89 0.60 -0.02 0.10 13.34-2.89j
690000 4.47 -2.50 0.47 -0.01 0.10 13.44-2.50j
700000 4.17 -3.04 0.54 0.03 0.10 13.15-3.04j
710000 4.31 -2.45 0.60 -0.07 0.10 13.29-2.45j
720000 4.26 -2.02 0.58 -0.02 0.10 13.24-2.02j
730000 4.34 -2.34 0.58 0.05 0.10 13.32-2.34j
740000 4.19 -2.66 0.58 0.00 0.10 13.17-2.66j
750000 4.37 -2.24 0.61 0.01 0.10 13.35-2.24j
760000 4.29 -2.39 0.62 0.03 0.10 13.27-2.39j
770000 4.23 -2.34 0.58 -0.03 0.10 13.21-2.34j
780000 4.21 -2.47 0.58 -0.00 0.10 13.19-2.47j
790000 4.22 -2.02 0.64 -0.01 0.10 13.20-2.02j
800000 4.37 -1.56 0.58 -0.02 0.10 13.35-1.56j
810000 4.31 -0.72 0.60 -0.00 0.10 13.29-0.72j
820000 4.33 -0.38 0.60 0.01 0.10 13.31-0.38j
830000 4.26 -0.51 0.60 0.03 0.10 13.24-0.51j
840000 4.43 -0.09 0.57 0.09 0.10 13.41-0.09j
850000 4.29 0.09 0.55 0.02 0.10 13.27+0.09j
860000 4.20 0.09 0.59 0.00 0.10 13.18+0.09j
870000 3.96 -0.54 0.58 0.04 0.10 12.94-0.54j
880000 4.24 0.06 0.60 -0.04 0.10 13.21+0.06j
890000 4.39 -0.17 0.59 0.03 0.10 13.37-0.17j
900000 4.28 0.19 0.63 0.02 0.10 13.26+0.19j
910000 4.26 0.30 0.60 0.01 0.10 13.24+0.30j
920000 4.48 0.40 0.60 0.02 0.10 13.46+0.40j
930000 4.24 0.10 0.57 -0.02 0.10 13.22+0.10j
940000 4.21 0.03 0.55 0.01 0.10 13.19+0.03j
950000 4.20 0.06 0.57 -0.03 0.10 13.17+0.06j
960000 4.31 -0.21 0.62 -0.03 0.10 13.29-0.21j
970000 4.35 0.16 0.58 0.00 0.10 13.33+0.16j
980000 4.29 -0.19 0.56 0.01 0.10 13.27-0.19j
990000 4.31 -0.62 0.57 -0.01 0.10 13.29-0.62j
