# step beta_mu_ex.real beta_mu_ex.imag beta_P.real beta_P.imag rho.real -kTlog(Q)
10000 55.01 -0.17 31.81 -0.13 1.00 63.99-0.17j
20000 78.47 -0.02 43.56 -0.08 1.00 87.44-0.02j
30000 87.27 -0.12 47.54 -0.06 1.00 96.25-0.12j
40000 90.60 0.05 49.77 0.01 1.00 99.58+0.05j
50000 91.91 -0.12 50.55 -0.01 1.00 100.89-0.12j
60000 92.60 0.07 50.83 0.07 1.00 101.58+0.07j
70000 92.87 -0.21 50.96 0.03 1.00 101.85-0.21j
80000 93.06 -0.38 51.04 -0.18 1.00 102.04-0.38j
90000 93.14 -0.20 51.03 -0.09 1.00 102.11-0.20j
100000 93.16 -0.13 51.08 0.04 1.00 102.14-0.13j
110000 93.23 -0.14 51.14 0.07 1.00 102.21-0.14j
120000 93.25 0.11 51.07 0.19 1.00 102.23+0.11j
130000 93.29 -0.12 51.19 0.06 1.00 102.27-0.12j
140000 93.27 -0.01 51.11 -0.03 1.00 102.25-0.01j
150000 93.27 -0.08 51.19 0.12 1.00 102.25-0.08j
160000 93.33 0.08 51.23 0.12 1.00 102.31+0.08j
170000 93.31 -0.04 51.15 -0.02 1.00 102.29-0.04j
180000 93.34 -0.19 51.24 0.03 1.00 102.32-0.19j
190000 93.31 -0.29 51.32 -0.23 1.00 102.29-0.29j
200000 93.34 -0.31 51.05 -0.17 1.00 102.32-0.31j
210000 93.39 0.06 51.40 -0.00 1.00 102.36+0.06j
220000 93.31 -0.17 51.24 0.13 1.00 102.29-0.17j
230000 93.31 -0.48 51.22 -0.07 1.00 102.28-0.48j
240000 93.24 -0.21 51.09 0.06 1.00 102.22-0.21j
250000 93.35 -0.62 51.03 -0.01 1.00 102.32-0.62j
260000 93.31 -0.60 51.15 -0.12 1.00 102.29-0.60j
270000 93.30 -0.37 51.23 0.07 1.00 102.28-0.37j
280000 93.36 -0.48 51.18 0.12 1.00 102.34-0.48j
290000 93.35 -0.46 51.30 0.08 1.00 102.33-0.46j
300000 93.33 -0.31 51.32 -0.02 1.00 102.30-0.31j
310000 93.36 -0.50 51.23 -0.02 1.00 102.34-0.50j
320000 93.36 -0.40 51.07 0.06 1.00 102.34-0.40j
330000 93.38 -0.08 51.18 0.14 1.00 102.36-0.08j
340000 93.36 0.00 51.19 0.11 1.00 102.34+0.00j
350000 93.32 0.36 51.30 0.17 1.00 102.30+0.36j
360000 93.32 0.22 51.18 0.27 1.00 102.30+0.22j
370000 93.30 -0.15 51.22 -0.02 1.00 102.28-0.15j
380000 93.34 -0.05 51.17 0.03 1.00 102.32-0.05j
390000 93.33 -0.21 51.14 0.03 1.00 102.31-0.21j
400000 93.34 -0.19 51.19 -0.02 1.00 102.31-0.19j
410000 93.36 -0.38 51.10 -0.18 1.00 102.34-0.38j
420000 93.36 -0.16 51.30 0.05 1.00 102.34-0.16j
430000 93.36 -0.24 51.10 -0.02 1.00 102.34-0.24j
